Name_of_the_Purchaser,Denominations,purchase_date,purchase_month,purchase_year,id
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7005
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7015
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7013
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7019
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7011
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7021
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7003
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7009
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7017
PONUGOTI HEMENDAR RAO,100000.0,12,Apr,2019,OL23643
PONUGOTI HEMENDAR RAO,100000.0,12,Apr,2019,OL23641
PONUGOTI HEMENDAR RAO,100000.0,12,Apr,2019,OL23645
RENUKA INVESTMENTS AND FINANCE LTD,10000000.0,12,Apr,2019,OC7065
RENUKA INVESTMENTS AND FINANCE LTD,10000000.0,12,Apr,2019,OC7067
RENUKA INVESTMENTS AND FINANCE LTD,10000000.0,12,Apr,2019,OC7063
RENUKA INVESTMENTS AND FINANCE LTD,10000000.0,12,Apr,2019,OC7069
RENUKA INVESTMENTS AND FINANCE LTD,10000000.0,12,Apr,2019,OC7071
RENUKESHWAR INVESTMENTS PVT LTD,10000000.0,12,Apr,2019,OC7058
RENUKESHWAR INVESTMENTS PVT LTD,10000000.0,12,Apr,2019,OC7056
RENUKESHWAR INVESTMENTS PVT LTD,10000000.0,12,Apr,2019,OC7054
RENUKESHWAR INVESTMENTS PVT LTD,10000000.0,12,Apr,2019,OC7062
RENUKESHWAR INVESTMENTS PVT LTD,10000000.0,12,Apr,2019,OC7060
SHIVAM TRANSCON PRIVATE LIMITED,1000000.0,12,Apr,2019,TL2351
SHIVAM TRANSCON PRIVATE LIMITED,1000000.0,12,Apr,2019,TL2353
SHIVAM TRANSCON PRIVATE LIMITED,1000000.0,12,Apr,2019,TL2355
SHIVAM TRANSCON PRIVATE LIMITED,1000000.0,12,Apr,2019,TL2349
SHIVAM TRANSCON PRIVATE LIMITED,1000000.0,12,Apr,2019,TL2346
SKYWORLD DEVELOPERS LLP,1000000.0,12,Apr,2019,TL2359
SKYWORLD DEVELOPERS LLP,100000.0,12,Apr,2019,OL10046
SKYWORLD DEVELOPERS LLP,100000.0,12,Apr,2019,OL10040
SKYWORLD DEVELOPERS LLP,100000.0,12,Apr,2019,OL10042
SKYWORLD DEVELOPERS LLP,100000.0,12,Apr,2019,OL10044
SKYWORLD DEVELOPERS LLP,100000.0,12,Apr,2019,OL10048
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9445
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9439
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9444
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9446
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9443
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9438
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9441
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9442
TEXPORT CREATION,1000000.0,12,Apr,2019,TL9440
ALOK NARAYAN PANDEY,10000000.0,15,Apr,2019,OC5268
ALOK NARAYAN PANDEY,10000000.0,15,Apr,2019,OC5266
ALOK NARAYAN PANDEY,10000000.0,15,Apr,2019,OC5267
ALOK NARAYAN PANDEY,1000000.0,15,Apr,2019,TL10931
ALOK NARAYAN PANDEY,1000000.0,15,Apr,2019,TL10932
ALOK NARAYAN PANDEY,1000000.0,15,Apr,2019,TL10930
ALOK NARAYAN PANDEY,1000000.0,15,Apr,2019,TL10929
BELLWEY INTERNATIONAL CO,1000000.0,15,Apr,2019,TL10933
BELLWEY INTERNATIONAL CO,1000000.0,15,Apr,2019,TL10936
BELLWEY INTERNATIONAL CO,1000000.0,15,Apr,2019,TL10935
BELLWEY INTERNATIONAL CO,1000000.0,15,Apr,2019,TL10937
BELLWEY INTERNATIONAL CO,1000000.0,15,Apr,2019,TL10934
CHHATTISGARH DISTILLERIES LIMITED,10000000.0,15,Apr,2019,OC1357
DEMPO INDUSTRIES PVT LTD,100000.0,15,Apr,2019,OL13883
DEMPO INDUSTRIES PVT LTD,100000.0,15,Apr,2019,OL13881
DEMPO INDUSTRIES PVT LTD,100000.0,15,Apr,2019,OL13889
DEMPO INDUSTRIES PVT LTD,100000.0,15,Apr,2019,OL13887
DEMPO INDUSTRIES PVT LTD,100000.0,15,Apr,2019,OL13885
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2864
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2872
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2860
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2862
